aircraft id,date,avg_sensor,scheduledoutofservice,unscheduledoutofservice,flighthours,flightcycles,delays,delayedminutes,cancellations,label
XY-YCV,2016-06-12 00:00:00,27.695808964349208,0E-18,1.000000000000000000,0.383333333333333,1,1.000000000000000000,37,0E-18,0
XY-BDC,2015-11-28 00:00:00,24.69133361901148,0E-18,1.000000000000000000,3.65,1,1.000000000000000000,21,0E-18,0
XY-BDC,2010-09-12 00:00:00,26.527627910939202,0E-18,1.000000000000000000,2.75,1,1.000000000000000000,15,0E-18,0
XY-WYW,2015-10-11 00:00:00,28.326196965423403,0E-18,1.000000000000000000,2.55,1,1.000000000000000000,27,0E-18,0
XY-KWW,2015-10-11 00:00:00,26.09965885224541,0E-18,1.000000000000000000,5.08333333333333,3,3.000000000000000000,55,0E-18,0
XY-OQQ,2015-07-17 00:00:00,24.527627910939202,1.000000000000000000,0E-18,2.81666666666667,1,1.000000000000000000,11,0E-18,0
XY-AZQ,2016-09-10 00:00:00,26.158751068737516,0E-18,1.000000000000000000,3.95,1,1.000000000000000000,3,0E-18,0
XY-FFT,2015-10-24 00:00:00,23.382293429341164,1.000000000000000000,0E-18,3.4,1,1.000000000000000000,36,0E-18,0
XY-IOW,2012-10-12 00:00:00,61.024066834433704,1.000000000000000000,0E-18,2.83333333333333,1,1.000000000000000000,10,0E-18,0
XY-GOJ,2012-09-13 00:00:00,61.88091177127996,1.000000000000000000,0E-18,0.583333333333333,1,1.000000000000000000,25,0E-18,0
XY-OZX,2014-11-04 00:00:00,27.544545053548124,0E-18,1.000000000000000000,5.43333333333333,2,2.000000000000000000,34,0E-18,0
XY-GOJ,2015-11-28 00:00:00,24.404403532575447,0E-18,1.000000000000000000,1.93333333333333,1,1.000000000000000000,4,0E-18,0
XY-AZQ,2015-10-08 00:00:00,63.84048476170168,0E-18,1.000000000000000000,1.98333333333333,1,1.000000000000000000,1,0E-18,0
XY-SHM,2010-09-12 00:00:00,25.432443277926634,0E-18,1.000000000000000000,3.75,1,1.000000000000000000,15,0E-18,0
XY-IOW,2010-02-27 00:00:00,25.98883689639154,0E-18,1.000000000000000000,0.533333333333333,1,1.000000000000000000,28,0E-18,0
XY-WYW,2012-05-05 00:00:00,26.63472783451754,0E-18,1.000000000000000000,1.55,1,1.000000000000000000,27,0E-18,0
XY-FFT,2015-07-17 00:00:00,26.60736018432592,0E-18,1.000000000000000000,2.81666666666667,1,1.000000000000000000,11,0E-18,0
XY-SFN,2010-09-24 00:00:00,61.938694376220994,0E-18,1.000000000000000000,2.51666666666667,1,1.000000000000000000,29,0E-18,1
XY-GOJ,2013-10-08 00:00:00,26.58476662497569,1.000000000000000000,0E-18,3.81666666666667,1,1.000000000000000000,11,0E-18,0
XY-YBT,2013-03-19 00:00:00,28.933569497394455,0E-18,1.000000000000000000,9.85,3,3.000000000000000000,69,0E-18,0
XY-SHM,2013-07-04 00:00:00,26.510048032935117,1.000000000000000000,0E-18,6.56666666666667,2,2.000000000000000000,26,0E-18,0
XY-SFN,2014-12-03 00:00:00,67.36301300329617,0E-18,1.000000000000000000,0.4,1,1.000000000000000000,36,0E-18,0
XY-OZX,2013-07-04 00:00:00,23.311982399374962,0E-18,1.000000000000000000,4.58333333333333,2,2.000000000000000000,25,0E-18,0
XY-BDC,2012-11-12 00:00:00,24.049956658086057,0E-18,1.000000000000000000,5.11666666666667,3,3.000000000000000000,53,0E-18,0
XY-LOL,2015-07-12 00:00:00,62.83068907679461,0E-18,1.000000000000000000,1.61666666666667,1,1.000000000000000000,23,0E-18,0
XY-SHM,2012-11-12 00:00:00,21.519281838409146,0E-18,1.000000000000000000,2.31666666666667,2,2.000000000000000000,41,0E-18,0
XY-PGD,2012-03-08 00:00:00,25.66873807137648,0E-18,1.000000000000000000,1.78333333333333,1,1.000000000000000000,13,0E-18,0
XY-OQQ,2013-07-01 00:00:00,62.35877759452561,0E-18,1.000000000000000000,10.2833333333333,3,3.000000000000000000,43,0E-18,0
XY-YCV,2012-03-08 00:00:00,27.92882889851037,0E-18,1.000000000000000000,1.66666666666667,2,2.000000000000000000,20,0E-18,0
XY-FFT,2014-07-25 00:00:00,63.90737259759438,0E-18,1.000000000000000000,5.68333333333333,3,3.000000000000000000,79,0E-18,1
XY-OZX,2015-11-28 00:00:00,27.498553013961754,1.000000000000000000,0E-18,3.8,1,1.000000000000000000,12,0E-18,0
XY-LOL,2010-09-08 00:00:00,65.2754907053352,0E-18,1.000000000000000000,2.43333333333333,1,1.000000000000000000,34,0E-18,0
XY-LOL,2014-11-04 00:00:00,25.544545053548127,1.000000000000000000,0E-18,2.71666666666667,1,1.000000000000000000,17,0E-18,0
XY-YBT,2014-11-04 00:00:00,27.222861504813075,0E-18,1.000000000000000000,2.91666666666667,2,2.000000000000000000,65,0E-18,0
XY-YCV,2011-06-18 00:00:00,62.82252996477578,0E-18,1.000000000000000000,2.38333333333333,2,2.000000000000000000,37,0E-18,1
