aircraft id,date,avg_sensor,flighthours,flightcycles,delayedminutes,label
XY-SHM,2010-09-23 00:00:00,27.355926331191007,2.91666666666667,1,5,1
XY-AZQ,2012-05-05 00:00:00,28.858430363022368,3.63333333333333,1,22,1
XY-JQE,2015-07-17 00:00:00,24.472092240978846,0.533333333333333,1,28,1
XY-YCV,2013-07-04 00:00:00,28.18147359141158,3.41666666666667,1,35,1
XY-IOW,2012-10-16 00:00:00,59.7782012019798,2.51666666666667,2,29,1
XY-GOJ,2013-09-20 00:00:00,24.494683113687575,3.75,1,15,1
XY-LOL,2012-06-18 00:00:00,66.9984526984846,2.83333333333333,1,10,1
XY-JQE,2013-10-08 00:00:00,27.176312513985188,5.16666666666667,2,50,1
XY-POE,2016-07-29 00:00:00,29.217485378609524,0.35,1,39,1
XY-RRQ,2015-10-11 00:00:00,24.672472918243617,6.21666666666667,2,47,1
XY-NIO,2012-11-12 00:00:00,24.394016944593048,0.433333333333333,1,34,1
XY-KWW,2011-06-17 00:00:00,30.61300316901528,0.583333333333333,1,25,1
XY-BDC,2010-09-23 00:00:00,27.45931644722197,2.48333333333333,1,31,1
XY-LOL,2012-03-01 00:00:00,64.1163092359453,3.86666666666667,1,8,1
XY-FFT,2016-07-30 00:00:00,27.018201689639195,4.95,2,63,1
XY-GOJ,2016-09-10 00:00:00,23.255793144538373,4.93333333333333,3,64,1
XY-SHM,2015-10-24 00:00:00,27.560932372456804,0.85,1,9,1
XY-LOL,2013-09-20 00:00:00,26.952683020778615,6.8,3,72,1
XY-FFT,2014-12-04 00:00:00,26.506906554967614,6.71666666666667,2,17,1
XY-YCV,2015-10-11 00:00:00,26.51808598482859,2.53333333333333,1,28,1
XY-KWW,2013-09-16 00:00:00,60.86846882795749,3.58333333333333,1,25,1
XY-SHM,2012-09-11 00:00:00,27.677963165595497,6.3,2,42,1
XY-FFT,2016-07-29 00:00:00,26.48325534458731,1.66666666666667,1,20,1
XY-LOL,2015-07-18 00:00:00,66.56894018171711,2.68333333333333,1,19,1
XY-LOL,2012-05-05 00:00:00,30.26092901334631,1.53333333333333,1,28,1
XY-SFN,2010-11-17 00:00:00,28.788555766874538,0.866666666666667,1,8,1
XY-LOL,2012-03-07 00:00:00,63.88435624398517,1.6,1,24,1
XY-KWW,2013-07-04 00:00:00,28.679012398973132,4.13333333333333,2,52,1
XY-FFT,2014-07-22 00:00:00,62.3673209404469,2.48333333333333,1,31,1
XY-SHM,2014-10-30 00:00:00,64.65816014386628,2.35,1,39,1
XY-PGD,2016-07-30 00:00:00,61.08094088702589,2.71666666666667,1,17,1
XY-YBT,2012-05-05 00:00:00,25.835566255065398,9.01666666666667,3,59,1
XY-IOW,2012-10-08 00:00:00,60.44608911354036,1.63333333333333,1,22,1
XY-IOW,2013-03-17 00:00:00,25.403076101956252,3.26666666666667,2,44,1
XY-LOL,2012-06-16 00:00:00,63.795322317157286,2.56666666666667,1,26,1
