aircraft id,date,avg_sensor,flighthours,flightcycles,delayedminutes,label
XY-PGD,2013-07-31 00:00:00,29.433888216066592,4.75,3,75,1
XY-WYW,2015-11-28 00:00:00,26.66164046575848,5.73333333333333,2,16,1
XY-PGD,2010-02-27 00:00:00,24.629908910511467,0.583333333333333,1,25,1
XY-RRQ,2013-03-19 00:00:00,25.13609303954671,3.95,1,3,1
XY-YCV,2012-05-05 00:00:00,26.075363609605823,2.5,2,30,1
XY-POE,2012-06-14 00:00:00,61.39167883724235,1.35,1,39,1
XY-KWW,2013-09-18 00:00:00,63.64760880275493,1.03333333333333,2,58,1
XY-BDC,2013-07-31 00:00:00,65.80251083608015,0.383333333333333,1,37,1
XY-NIO,2013-09-20 00:00:00,25.971086422572096,0.5,1,30,1
XY-AZQ,2011-06-17 00:00:00,31.44743358218066,0.566666666666667,1,26,1
XY-IOW,2013-10-08 00:00:00,25.788545333765786,3.61666666666667,1,23,1
XY-NIO,2015-11-28 00:00:00,27.541785163425235,5.33333333333333,2,40,1
XY-POE,2014-02-18 00:00:00,27.881364542080558,6.8,2,12,1
XY-SHM,2014-10-28 00:00:00,64.65321772993049,0.65,1,21,1
XY-RRQ,2014-12-03 00:00:00,26.65886065453567,3.6,1,24,1
XY-FFT,2014-11-04 00:00:00,26.883065814579723,0.916666666666667,1,5,1
XY-IOW,2012-11-12 00:00:00,26.828998102512383,2.76666666666667,2,14,1
XY-OZX,2014-12-12 00:00:00,29.29435527152658,0.916666666666667,1,5,1
XY-OZX,2015-06-01 00:00:00,27.826503886028675,7.05,2,57,1
XY-SHM,2011-06-20 00:00:00,24.566976932818505,3.43333333333333,1,34,1
XY-BDC,2013-08-01 00:00:00,61.832595652763025,3.55,1,27,1
XY-WYW,2010-02-27 00:00:00,28.012690036036357,0.866666666666667,1,8,1
XY-SFN,2015-05-28 00:00:00,65.81112354645396,1.93333333333333,1,4,1
XY-AZQ,2015-10-06 00:00:00,64.6704863657839,0.516666666666667,1,29,1
XY-PGD,2012-10-15 00:00:00,28.587279086072478,3.55,1,27,1
XY-NIO,2016-07-29 00:00:00,27.24514616344924,1.63333333333333,1,22,1
XY-AZQ,2016-06-13 00:00:00,67.6362602537938,0.533333333333333,1,28,1
XY-SFN,2016-09-10 00:00:00,24.763750918227405,0.783333333333333,1,13,1
XY-BDC,2012-05-03 00:00:00,63.16386878869665,0.95,1,3,1
XY-LOL,2012-03-06 00:00:00,63.13590922562709,5.06666666666667,2,56,1
XY-BDC,2013-07-27 00:00:00,62.806520269356604,0.433333333333333,1,34,1
XY-YJU,2016-06-12 00:00:00,25.824295842803767,2.95,1,3,1
XY-BDC,2012-05-02 00:00:00,60.91692301189705,4.46666666666667,2,32,1
XY-BDC,2013-03-12 00:00:00,62.911646736669496,1.53333333333333,1,28,1
XY-YBT,2012-03-08 00:00:00,30.234835608266334,1.61666666666667,2,23,1
XY-GOJ,2013-07-31 00:00:00,26.916927445193515,2.76666666666667,2,74,1
