aircraft id,date,avg_sensor,scheduledoutofservice,unscheduledoutofservice,flighthours,flightcycles,delays,delayedminutes,cancellations,label
XY-LOL,2012-06-20 00:00:00,65.65808070838523,0E-18,1.000000000000000000,4.3,2,2.000000000000000000,42,0E-18,1
XY-GOJ,2015-06-01 00:00:00,22.54178516342524,0E-18,1.000000000000000000,3.4,1,1.000000000000000000,36,0E-18,0
XY-POE,2012-06-19 00:00:00,24.450090328307287,0E-18,1.000000000000000000,3.5,1,1.000000000000000000,30,0E-18,0
XY-POE,2014-07-24 00:00:00,25.897153245495517,1.000000000000000000,0E-18,0.583333333333333,1,1.000000000000000000,25,0E-18,0
XY-GOJ,2015-10-24 00:00:00,29.467080907739785,0E-18,1.000000000000000000,2.75,1,1.000000000000000000,15,0E-18,0
XY-BDC,2016-07-29 00:00:00,28.71763067981153,0E-18,1.000000000000000000,4.38333333333333,2,2.000000000000000000,37,0E-18,0
XY-WYW,2010-11-17 00:00:00,23.99219520117204,1.000000000000000000,0E-18,2.86666666666667,1,1.000000000000000000,8,0E-18,0
XY-SFN,2015-10-11 00:00:00,24.51808598482859,0E-18,1.000000000000000000,3.9,2,2.000000000000000000,66,0E-18,0
XY-YBT,2012-06-15 00:00:00,20.219624277776415,1.000000000000000000,0E-18,0.65,1,1.000000000000000000,21,0E-18,0
XY-JQE,2014-12-03 00:00:00,27.44941600283475,0E-18,1.000000000000000000,3.4,2,2.000000000000000000,36,0E-18,0
XY-WYW,2011-06-21 00:00:00,28.111333735642866,0E-18,1.000000000000000000,4.71666666666667,2,2.000000000000000000,17,0E-18,0
XY-YCV,2012-06-19 00:00:00,29.35802479794627,0E-18,1.000000000000000000,0.733333333333333,1,1.000000000000000000,16,0E-18,0
XY-YJU,2011-06-20 00:00:00,26.92882889851037,0E-18,1.000000000000000000,3.46666666666667,1,1.000000000000000000,32,0E-18,0
XY-SHM,2013-03-17 00:00:00,23.51808598482859,1.000000000000000000,0E-18,2.53333333333333,1,1.000000000000000000,28,0E-18,0
XY-OQQ,2016-09-10 00:00:00,29.40307610195625,0E-18,1.000000000000000000,1.46666666666667,1,1.000000000000000000,32,0E-18,0
XY-BDC,2014-12-03 00:00:00,26.788545333765786,1.000000000000000000,0E-18,3.65,1,1.000000000000000000,21,0E-18,0
XY-AZQ,2015-11-28 00:00:00,27.974783974969267,1.000000000000000000,0E-18,3.8,1,1.000000000000000000,12,0E-18,0
XY-IOW,2015-11-27 00:00:00,64.71411157541756,1.000000000000000000,0E-18,1.35,2,2.000000000000000000,39,0E-18,0
XY-YBT,2012-11-12 00:00:00,28.266518306900977,1.000000000000000000,0E-18,1.43333333333333,1,1.000000000000000000,34,0E-18,0
XY-OZX,2016-09-11 00:00:00,65.23547309770747,0E-18,1.000000000000000000,3.93333333333333,1,1.000000000000000000,4,0E-18,1
XY-GOJ,2015-10-25 00:00:00,25.68005886515635,1.000000000000000000,0E-18,2.75,1,1.000000000000000000,15,0E-18,0
XY-BDC,2013-09-20 00:00:00,26.962349205343905,1.000000000000000000,0E-18,3.55,1,1.000000000000000000,27,0E-18,0
XY-FFT,2015-11-28 00:00:00,25.028951611720174,0E-18,1.000000000000000000,3.85,1,1.000000000000000000,9,0E-18,0
XY-PGD,2010-09-23 00:00:00,30.2981342215634,1.000000000000000000,0E-18,1.38333333333333,1,1.000000000000000000,37,0E-18,0
XY-AZQ,2016-06-07 00:00:00,64.74953569040233,0E-18,1.000000000000000000,1.66666666666667,1,1.000000000000000000,20,0E-18,0
XY-NIO,2016-06-12 00:00:00,27.572634725683788,0E-18,1.000000000000000000,2.66666666666667,1,1.000000000000000000,20,0E-18,0
XY-FFT,2013-03-19 00:00:00,29.527657200113094,0E-18,1.000000000000000000,0.783333333333333,1,1.000000000000000000,13,0E-18,0
XY-FFT,2012-06-19 00:00:00,29.433888216066592,0E-18,1.000000000000000000,1.56666666666667,1,1.000000000000000000,26,0E-18,0
XY-RRQ,2012-06-19 00:00:00,31.44743358218066,0E-18,1.000000000000000000,0.55,1,1.000000000000000000,27,0E-18,0
XY-IOW,2014-12-12 00:00:00,26.40522540118007,0E-18,1.000000000000000000,6.86666666666667,2,2.000000000000000000,68,0E-18,0
XY-AZQ,2012-03-08 00:00:00,23.165312710682606,1.000000000000000000,0E-18,1.88333333333333,1,1.000000000000000000,7,0E-18,0
XY-NIO,2010-09-23 00:00:00,22.763490409126312,1.000000000000000000,0E-18,0.466666666666667,1,1.000000000000000000,32,0E-18,0
XY-PGD,2012-06-19 00:00:00,27.80874321067704,0E-18,1.000000000000000000,1.53333333333333,1,1.000000000000000000,28,0E-18,0
XY-LOL,2015-07-11 00:00:00,61.35269135277944,0E-18,1.000000000000000000,1.43333333333333,1,1.000000000000000000,34,0E-18,0
XY-BDC,2016-09-10 00:00:00,25.023198389999227,0E-18,1.000000000000000000,0.983333333333333,1,1.000000000000000000,1,0E-18,0
