aircraft id,date,avg_sensor,flighthours,flightcycles,delayedminutes,label
XY-IOW,2015-07-17 00:00:00,27.039684508945946,3.4,1,36,1
XY-NIO,2015-10-11 00:00:00,31.18149392360796,0.433333333333333,1,34,1
XY-YCV,2013-10-09 00:00:00,27.87642885424957,2.9,1,6,1
XY-AZQ,2016-07-29 00:00:00,23.83987854734863,0.633333333333333,1,22,1
XY-OQQ,2015-06-01 00:00:00,26.766346333134745,5.23333333333333,2,46,1
XY-NIO,2013-10-08 00:00:00,27.23080313410869,6.38333333333333,2,37,1
XY-RRQ,2016-07-29 00:00:00,26.113281953587745,1.5,1,30,1
XY-YJU,2013-03-17 00:00:00,25.849692353244034,3.71666666666667,1,17,1
XY-GOJ,2012-09-12 00:00:00,60.987928241609566,3.6,1,24,1
XY-YCV,2011-06-13 00:00:00,64.19688354482817,0.55,1,27,1
XY-KWW,2012-11-12 00:00:00,27.438574968731785,7.63333333333333,2,22,1
XY-KWW,2014-12-12 00:00:00,27.66351044492756,3.78333333333333,1,13,1
XY-WYW,2013-03-20 00:00:00,26.740254815581917,2.46666666666667,1,32,1
XY-JQE,2014-02-15 00:00:00,61.8538358104594,3.35,1,39,1
XY-IOW,2010-11-18 00:00:00,65.1116938807297,5.18333333333333,2,49,1
XY-PGD,2016-07-24 00:00:00,61.67321507648149,2.43333333333333,1,34,1
XY-SHM,2012-10-16 00:00:00,25.070471757200377,0.783333333333333,1,13,1
XY-OZX,2013-03-18 00:00:00,62.03259033597521,3.41666666666667,2,35,1
XY-PGD,2014-12-12 00:00:00,24.524611840536025,1.71666666666667,1,17,1
XY-IOW,2011-06-21 00:00:00,59.854037379349,2.83333333333333,1,10,1
XY-JQE,2014-02-19 00:00:00,61.118538173552096,2.98333333333333,1,1,1
XY-WYW,2011-06-20 00:00:00,28.996655131910924,1.43333333333333,1,34,1
XY-RRQ,2012-10-15 00:00:00,24.43479545756181,4.28333333333333,2,43,1
XY-BDC,2012-05-04 00:00:00,59.987848895937624,1.55,1,27,1
XY-OQQ,2012-06-14 00:00:00,27.05931626946607,5.58333333333333,2,25,1
XY-OZX,2012-03-08 00:00:00,28.01963082389284,3.73333333333333,1,16,1
XY-KWW,2013-09-13 00:00:00,63.174045282893786,0.733333333333333,1,16,1
XY-OZX,2016-09-03 00:00:00,63.53163095972234,1.36666666666667,1,38,1
XY-IOW,2015-06-01 00:00:00,27.64382277226678,3.98333333333333,1,1,1
XY-SFN,2010-09-22 00:00:00,64.40071774579208,6.23333333333333,4,106,1
XY-YBT,2014-02-18 00:00:00,26.162145785249848,3.73333333333333,1,16,1
XY-YBT,2012-06-14 00:00:00,25.021962318048175,3.13333333333333,2,52,1
XY-YCV,2013-09-20 00:00:00,23.81457913386923,1.4,1,36,1
XY-IOW,2011-06-15 00:00:00,64.92094727533569,4.8,2,12,1
XY-IOW,2012-05-05 00:00:00,29.513900705308302,2.91666666666667,1,5,1
