aircraft id,date,avg_sensor,scheduledoutofservice,unscheduledoutofservice,flighthours,flightcycles,delays,delayedminutes,cancellations,label
XY-SHM,2010-02-27 00:00:00,26.6473909483814,0E-18,1.000000000000000000,0.5,1,1.000000000000000000,30,0E-18,0
XY-SFN,2015-05-25 00:00:00,62.32288088990759,1.000000000000000000,0E-18,2.48333333333333,1,1.000000000000000000,31,0E-18,0
XY-OZX,2016-09-07 00:00:00,65.8869158206692,0E-18,1.000000000000000000,0.783333333333333,1,1.000000000000000000,13,0E-18,0
XY-OQQ,2014-02-18 00:00:00,30.23588817881644,0E-18,1.000000000000000000,0.933333333333333,1,1.000000000000000000,4,0E-18,0
XY-LOL,2014-12-13 00:00:00,61.79130313773131,0E-18,1.000000000000000000,1.93333333333333,1,1.000000000000000000,4,0E-18,1
XY-BDC,2015-10-11 00:00:00,23.277394787655858,0E-18,1.000000000000000000,1.36666666666667,1,1.000000000000000000,38,0E-18,0
XY-IOW,2015-11-28 00:00:00,61.8538358104594,0E-18,1.000000000000000000,12.9166666666667,4,4.000000000000000000,125,0E-18,0
XY-NIO,2014-02-18 00:00:00,25.44212087858069,0E-18,1.000000000000000000,1.61666666666667,1,1.000000000000000000,23,0E-18,0
XY-IOW,2016-09-10 00:00:00,24.98003955185053,1.000000000000000000,0E-18,6.25,3,3.000000000000000000,45,0E-18,0
XY-IOW,2016-06-12 00:00:00,24.046396779998457,0E-18,1.000000000000000000,0.916666666666667,1,1.000000000000000000,5,0E-18,0
XY-FFT,2012-05-05 00:00:00,26.537468692577228,0E-18,1.000000000000000000,7.03333333333333,4,4.000000000000000000,58,0E-18,0
XY-YJU,2015-11-28 00:00:00,25.066078167416453,1.000000000000000000,0E-18,6.25,2,2.000000000000000000,45,0E-18,0
XY-AZQ,2010-11-17 00:00:00,25.6473909483814,0E-18,1.000000000000000000,5.85,3,3.000000000000000000,69,0E-18,0
XY-YCV,2011-06-17 00:00:00,61.942304971115455,1.000000000000000000,0E-18,0.85,1,1.000000000000000000,9,0E-18,0
XY-BDC,2010-02-26 00:00:00,64.1163092359453,0E-18,1.000000000000000000,4.86666666666667,2,2.000000000000000000,8,0E-18,0
XY-YCV,2015-06-01 00:00:00,26.411537586060966,0E-18,1.000000000000000000,3.73333333333333,1,1.000000000000000000,16,0E-18,0
XY-OZX,2014-07-24 00:00:00,26.941499393105833,0E-18,1.000000000000000000,3.35,2,2.000000000000000000,39,0E-18,0
XY-SHM,2014-10-29 00:00:00,65.23901605785049,1.000000000000000000,0E-18,2.7,1,1.000000000000000000,18,0E-18,0
XY-AZQ,2015-10-05 00:00:00,61.678907879492215,1.000000000000000000,0E-18,1.83333333333333,1,1.000000000000000000,10,0E-18,0
XY-OZX,2013-03-20 00:00:00,61.07446258715314,0E-18,1.000000000000000000,3.73333333333333,1,1.000000000000000000,16,0E-18,1
XY-AZQ,2015-10-12 00:00:00,60.859109003553016,0E-18,1.000000000000000000,3.41666666666667,1,1.000000000000000000,35,0E-18,1
XY-WYW,2013-07-31 00:00:00,23.381670488344984,0E-18,1.000000000000000000,0.85,1,1.000000000000000000,9,0E-18,0
XY-POE,2012-06-15 00:00:00,61.487778982081785,0E-18,1.000000000000000000,2.9,2,2.000000000000000000,66,0E-18,1
XY-SHM,2015-06-01 00:00:00,25.181611831859495,0E-18,1.000000000000000000,5.21666666666667,2,2.000000000000000000,47,0E-18,0
XY-YJU,2012-06-14 00:00:00,26.172274772053107,0E-18,1.000000000000000000,8.28333333333333,3,3.000000000000000000,43,0E-18,0
XY-RRQ,2015-11-28 00:00:00,26.171004470332146,1.000000000000000000,0E-18,1.33333333333333,2,2.000000000000000000,40,0E-18,0
XY-SFN,2012-11-05 00:00:00,66.28932879980198,1.000000000000000000,0E-18,4.6,2,2.000000000000000000,24,0E-18,0
XY-IOW,2010-11-10 00:00:00,63.45915117555863,0E-18,1.000000000000000000,2.45,1,1.000000000000000000,33,0E-18,0
XY-OZX,2016-09-10 00:00:00,61.1569820651383,0E-18,1.000000000000000000,3.93333333333333,1,1.000000000000000000,4,0E-18,0
XY-WYW,2016-09-10 00:00:00,26.289046331596303,0E-18,1.000000000000000000,2.51666666666667,1,1.000000000000000000,29,0E-18,0
XY-SFN,2013-03-19 00:00:00,25.73709248363598,0E-18,1.000000000000000000,2.4,1,1.000000000000000000,36,0E-18,0
XY-BDC,2014-11-04 00:00:00,29.985507696386744,1.000000000000000000,0E-18,4.56666666666667,2,2.000000000000000000,26,0E-18,0
XY-POE,2015-10-11 00:00:00,27.89977746035145,1.000000000000000000,0E-18,7.53333333333333,3,3.000000000000000000,88,0E-18,0
XY-KWW,2012-05-05 00:00:00,20.513013410996432,0E-18,1.000000000000000000,4.01666666666667,2,2.000000000000000000,59,0E-18,0
XY-YJU,2013-10-08 00:00:00,29.59618525562485,0E-18,1.000000000000000000,0.833333333333333,1,1.000000000000000000,10,0E-18,0
